food_group,food_number,food_name,waste_rate,energy_kcal,protein_g,fat_g,fiber_g,carbohydrate_g,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,zinc_mg,copper_mg,vitamin_a_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenic_mg,vitamin_c_mg,source,per_100g
1,1041,こむぎ　［うどん・そうめん類］　干しうどん　乾,0.0,333.0,8.5,1.1,2.4,71.9,130.0,17.0,19.0,70.0,0.6,0.4,0.11,0.0,0.0,0.3,0.0,0.08,0.02,0.9,0.04,0.0,9.0,0.45,0.0,文部科学省食品成分表八訂,True
1,1042,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,0.0,117.0,3.1,0.5,0.7,25.8,14.0,7.0,4.0,24.0,0.2,0.1,0.04,0.0,0.0,0.1,0.0,0.02,0.01,0.2,0.01,0.0,2.0,0.14,0.0,文部科学省食品成分表八訂,True
1,1043,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,0.0,333.0,9.5,1.1,2.5,72.7,120.0,17.0,22.0,70.0,0.6,0.4,0.12,0.0,0.0,0.3,0.0,0.08,0.02,0.9,0.03,0.0,8.0,0.7,0.0,文部科学省食品成分表八訂,True
1,1044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,0.0,114.0,3.5,0.4,0.9,25.8,5.0,6.0,5.0,24.0,0.2,0.2,0.05,0.0,0.0,0.1,0.0,0.02,0.01,0.2,0.0,0.0,2.0,0.25,0.0,文部科学省食品成分表八訂,True
1,1045,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,0.0,312.0,9.3,1.5,1.8,68.9,110.0,20.0,23.0,70.0,0.6,0.4,0.14,0.0,0.0,0.1,0.0,0.06,0.02,0.9,0.03,0.0,10.0,0.52,0.0,文部科学省食品成分表八訂,True
1,1046,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,0.0,119.0,3.5,0.6,1.0,25.5,5.0,6.0,4.0,23.0,0.2,0.1,0.05,0.0,0.0,0.0,0.0,0.03,0.01,0.2,0.0,0.0,2.0,0.16,0.0,文部科学省食品成分表八訂,True
1,1047,こむぎ　［中華めん類］　中華めん　生,0.0,249.0,8.6,1.2,5.4,55.7,350.0,21.0,13.0,66.0,0.5,0.4,0.09,0.0,0.0,0.2,,0.02,0.02,0.6,0.02,0.0,8.0,0.55,0.0,文部科学省食品成分表八訂,True
1,1048,こむぎ　［中華めん類］　中華めん　ゆで,0.0,133.0,4.9,0.6,2.8,29.2,60.0,20.0,7.0,29.0,0.3,0.2,0.05,0.0,0.0,0.1,,0.01,0.01,0.2,0.0,0.0,3.0,0.25,0.0,文部科学省食品成分表八訂,True
1,1187,こむぎ　［中華めん類］　半生中華めん　,0.0,305.0,9.9,4.0,6.2,61.2,430.0,21.0,15.0,72.0,0.7,0.4,0.1,0.0,0.0,0.0,,0.07,0.03,0.7,0.02,0.0,9.0,0.63,0.0,文部科学省食品成分表八訂,True
1,1049,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,0.0,162.0,4.9,1.7,3.1,35.6,80.0,10.0,9.0,40.0,0.4,0.2,0.06,0.0,0.0,0.1,,0.0,0.16,0.3,0.02,0.0,4.0,0.19,0.0,文部科学省食品成分表八訂,True
1,1188,こむぎ　［中華めん類］　蒸し中華めん  ソテー,0.0,211.0,5.2,4.9,3.6,38.9,87.0,10.0,10.0,43.0,0.4,0.2,0.06,0.0,0.0,0.1,,0.0,0.0,0.3,0.02,0.0,4.0,0.21,0.0,文部科学省食品成分表八訂,True
1,1050,こむぎ　［中華めん類］　干し中華めん　乾,0.0,337.0,11.7,1.6,6.0,70.2,300.0,21.0,23.0,82.0,1.1,0.5,0.15,0.0,0.0,0.2,,0.02,0.03,0.8,0.05,0.0,11.0,0.76,0.0,文部科学省食品成分表八訂,True
1,1051,こむぎ　［中華めん類］　干し中華めん　ゆで,0.0,131.0,4.9,0.5,2.6,27.5,42.0,13.0,10.0,29.0,0.4,0.2,0.05,0.0,0.0,0.0,,0.0,0.0,0.1,0.01,0.0,3.0,0.25,0.0,文部科学省食品成分表八訂,True
1,1052,こむぎ　［中華めん類］　沖縄そば　生,0.0,266.0,9.2,2.0,2.1,54.2,340.0,11.0,50.0,65.0,0.7,1.1,0.18,0.0,0.0,0.3,0.0,0.02,0.04,0.8,0.11,0.0,15.0,0.63,0.0,文部科学省食品成分表八訂,True
1,1053,こむぎ　［中華めん類］　沖縄そば　ゆで,0.0,132.0,5.2,0.8,1.5,28.0,80.0,9.0,28.0,28.0,0.4,0.6,0.1,0.0,0.0,0.2,0.0,0.01,0.02,0.2,0.03,0.0,6.0,0.23,0.0,文部科学省食品成分表八訂,True
1,1054,こむぎ　［中華めん類］　干し沖縄そば　乾,0.0,317.0,12.0,1.7,2.1,67.8,130.0,23.0,22.0,100.0,1.5,0.4,0.11,0.0,0.0,0.1,0.0,0.12,0.05,1.1,0.05,0.0,8.0,0.49,0.0,文部科学省食品成分表八訂,True
1,1055,こむぎ　［中華めん類］　干し沖縄そば　ゆで,0.0,132.0,5.2,0.6,1.5,28.6,10.0,11.0,8.0,36.0,0.5,0.1,0.05,0.0,0.0,0.0,0.0,0.02,0.02,0.2,0.01,0.0,3.0,0.18,0.0,文部科学省食品成分表八訂,True
1,1056,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,0.0,424.0,10.1,16.7,2.5,63.5,260.0,430.0,29.0,110.0,1.0,0.5,0.13,0.0,0.0,3.1,1.0,1.46,1.67,1.0,0.06,0.0,12.0,0.41,0.0,文部科学省食品成分表八訂,True
1,1057,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,0.0,439.0,10.1,19.1,2.4,61.4,150.0,230.0,25.0,110.0,0.9,0.5,0.16,1.0,0.0,2.2,3.0,0.55,0.83,0.9,0.05,0.0,10.0,0.44,0.0,文部科学省食品成分表八訂,True
1,1198,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,0.0,100.0,2.3,4.4,0.5,13.4,33.0,28.0,6.0,20.0,0.2,0.1,0.03,0.0,0.0,0.5,1.0,0.02,0.13,0.2,0.01,0.0,2.0,0.1,0.0,文部科学省食品成分表八訂,True
1,1189,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,0.0,189.0,3.9,7.7,2.6,27.9,34.0,95.0,8.0,40.0,0.2,0.2,0.05,0.0,0.0,0.8,0.0,0.05,0.06,0.3,0.01,0.0,3.0,0.11,0.0,文部科学省食品成分表八訂,True
1,1144,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,0.0,453.0,8.9,19.6,5.5,65.5,150.0,220.0,20.0,97.0,0.6,0.4,0.09,0.0,0.0,2.2,1.0,0.16,0.19,1.1,0.05,0.0,9.0,0.26,0.0,文部科学省食品成分表八訂,True
1,1058,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,0.0,336.0,10.3,5.2,2.3,67.1,260.0,110.0,25.0,110.0,0.8,0.4,0.11,1.0,0.0,1.3,3.0,0.21,0.04,1.0,0.05,0.0,14.0,0.37,0.0,文部科学省食品成分表八訂,True
1,1199,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,0.0,93.0,3.0,0.8,0.6,18.7,68.0,6.0,6.0,26.0,0.2,0.1,0.03,0.0,0.0,0.2,1.0,0.01,0.01,0.2,0.01,0.0,4.0,0.1,0.0,文部科学省食品成分表八訂,True
1,1190,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,0.0,139.0,3.4,0.8,2.7,31.0,64.0,94.0,8.0,46.0,0.2,0.2,0.04,3.0,0.0,0.7,0.0,0.0,0.0,0.4,0.01,0.0,3.0,0.12,0.0,文部科学省食品成分表八訂,True
1,1145,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,0.0,334.0,8.5,1.9,6.5,75.2,310.0,230.0,21.0,130.0,0.6,0.4,0.08,5.0,0.0,1.7,0.0,0.01,0.01,1.1,0.05,0.0,8.0,0.34,0.0,文部科学省食品成分表八訂,True
1,1193,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,0.0,422.0,10.9,18.5,5.8,58.6,190.0,190.0,25.0,110.0,0.7,0.5,0.09,26.0,0.2,3.1,17.0,0.9,0.61,1.2,0.07,0.1,16.0,0.3,2.0,文部科学省食品成分表八訂,True
1,1201,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,0.0,92.0,2.5,4.2,1.3,13.2,43.0,43.0,6.0,24.0,0.2,0.1,0.02,6.0,0.0,0.7,4.0,0.2,0.14,0.3,0.02,0.0,4.0,0.07,1.0,文部科学省食品成分表八訂,True
1,1194,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,0.0,175.0,3.8,7.7,2.2,25.2,37.0,76.0,7.0,34.0,0.3,0.2,0.04,6.0,0.0,1.2,1.0,0.19,0.14,0.3,0.02,0.0,4.0,0.1,0.0,文部科学省食品成分表八訂,True
1,1191,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,0.0,417.0,10.0,19.1,6.1,54.6,180.0,200.0,26.0,110.0,0.8,0.5,0.07,12.0,0.0,2.7,10.0,0.61,0.52,1.2,0.06,0.1,14.0,0.2,2.0,文部科学省食品成分表八訂,True
1,1200,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,0.0,90.0,2.3,4.5,1.4,12.9,43.0,46.0,6.0,27.0,0.2,0.1,0.02,3.0,0.0,0.6,2.0,0.14,0.12,0.3,0.01,0.0,3.0,0.05,1.0,文部科学省食品成分表八訂,True
1,1192,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,0.0,142.0,3.0,5.8,1.9,20.7,33.0,74.0,6.0,28.0,0.2,0.1,0.04,1.0,0.0,0.9,1.0,0.15,0.14,0.3,0.01,0.0,3.0,0.07,0.0,文部科学省食品成分表八訂,True
1,1060,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,0.0,418.0,8.2,18.6,5.7,57.5,180.0,180.0,27.0,89.0,1.0,0.4,0.12,4.0,0.0,3.1,14.0,0.48,0.66,0.8,0.06,0.0,13.0,0.38,1.0,文部科学省食品成分表八訂,True
1,1202,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,0.0,222.0,5.0,11.3,3.3,34.2,100.0,94.0,14.0,54.0,0.4,0.3,0.06,2.0,0.0,1.8,11.0,0.28,0.3,0.6,0.04,0.0,9.0,0.15,2.0,文部科学省食品成分表八訂,True
1,1061,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,0.0,314.0,9.2,5.8,6.4,62.6,250.0,48.0,26.0,100.0,1.2,0.4,0.1,12.0,0.0,1.1,9.0,0.16,0.13,0.8,0.07,0.0,21.0,0.35,1.0,文部科学省食品成分表八訂,True
1,1203,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,0.0,66.0,2.5,2.1,1.5,10.2,77.0,44.0,7.0,34.0,0.2,0.1,0.02,3.0,0.0,0.3,3.0,0.1,0.1,0.4,0.02,0.0,4.0,0.08,2.0,文部科学省食品成分表八訂,True
1,1195,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,0.0,121.0,3.4,1.3,2.5,25.3,53.0,76.0,7.0,42.0,0.3,0.1,0.03,0.0,0.0,0.3,1.0,0.05,0.06,0.3,0.01,0.0,3.0,0.07,0.0,文部科学省食品成分表八訂,True
